date,miles,average
1,0,2
2,0,2
3,0,5
4,5,0
5,0,0
6,3,0
7,0,3
8,0,2
9,2,2
10,0,2
11,0,2
12,0,1
13,0,2
14,0,3
15,0,4
16,5,0
17,0,2
18,0,2
19,0,0
20,0,0
21,11,2
22,0,3
23,3,2
24,0,4
25,0,3
26,0,3
27,5,2
28,0,2
29,0,2
30,0,2
31,0,2
32,4,1
33,0,2
34,0,1
35,0,2
36,2,3
37,2,0
38,3,0
39,5,0
40,0,2
